filename,unique_id,Total,chromosome,ecDNA,MIA_total,TP,TP_partial,FN,FP,ref_total
NCIH2170_LOW_HER2_R1_G0_2501_60_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_60,97,3,94,22,15,5,77,2,97
NCIH2170_HIGH_HER2_R1_G0_2501_39_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_39,148,5,143,64,25,26,97,13,148
NCIH2170_HIGH_HER2_R1_G1_2404_S2_2_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_2_Merge(RGB),107,3,104,113,47,22,38,44,107
NCIH2170_LOW_HER2_R1_G0_2501_17_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_17,104,3,101,24,12,12,80,0,104
NCIH2170_HIGH_HER2_R1_G1_2404_S2_122_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_122_Merge(RGB),258,11,247,132,71,49,138,12,258
NCIH2170_TOTAL_HER2_R1_G0_2501_47A_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_47A,232,0,232,90,46,36,150,8,232
NCIH2170_HIGH_HER2_R1_G1_2404_S2_111_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_111_Merge(RGB),100,5,95,52,35,10,55,7,100
NCIH2170_TOTAL_HER2_R1_G0_2501_37_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_37,431,6,425,171,70,89,272,12,431
NCIH2170_HIGH_HER2_R1_G1_2404_S2_36_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_36_Merge(RGB),309,0,309,50,15,26,268,9,309
NCIH2170_LOW_HER2_R1_G2_24_10_84_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_84_Merge(RGB),268,12,256,58,36,19,213,3,268
NCIH2170_LOW_HER2_R1_G0_2501_14_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_14,177,4,173,41,9,28,140,4,177
NCIH2170_TOTAL_HER2_R1_G1_2404_9_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_9_Merge(RGB),178,7,171,68,31,24,123,13,178
NCIH2170_HIGH_HER2_R1_G1_2404_S2_93_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_93_Merge(RGB),98,5,93,53,27,20,51,6,98
NCIH2170_LOW_HER2_R1_G2_24_10_69_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_69_Merge(RGB),232,0,232,78,41,28,163,9,232
