filename,unique_id,Total,chromosome,ecDNA
NCIH2170_TOTAL_HER2_R1_G0_2501_112_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_112,94,0,94
NCIH2170_TOTAL_HER2_R1_G1_2404_5_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_5_Merge(RGB),84,7,77
NCIH2170_HIGH_HER2_R1_G1_2404_S2_55_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_55_Merge(RGB),283,0,283
NCIH2170_LOW_HER2_R1_G2_24_10_101_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_101_Merge(RGB),182,0,182
NCIH2170_LOW_HER2_R1_G1_2404_35_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_35_Merge(RGB),328,3,325
NCIH2170_LOW_HER2_R1_G2_24_10_30_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_30_Merge(RGB),239,5,234
NCIH2170_LOW_HER2_R1_G2_24_10_106_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_106_Merge(RGB),136,12,124
NCIH2170_TOTAL_HER2_R1_G0_2501_32_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_32,86,0,86
NCIH2170_LOW_HER2_R1_G2_24_10_42_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_42_Merge(RGB),149,24,125
NCIH2170_LOW_HER2_R1_G2_24_10_128_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_128_Merge(RGB),198,33,165
NCIH2170_HIGH_HER2_R1_G2_24_10_46_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_46_Merge(RGB),329,9,320
NCIH2170_HIGH_HER2_R1_G1_2404_S2_85_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_85_Merge(RGB),262,0,262
NCIH2170_HIGH_HER2_R1_G0_2501_123_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_123,218,15,203
NCIH2170_HIGH_HER2_R1_G0_2501_94_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_94,421,15,406
NCIH2170_HIGH_HER2_R1_G2_24_10_101_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_101_Merge(RGB),116,5,111
